U. SANTO TOMÁS;Ruta 5 Norte S/N, Copiapó, Copiapó;www.ust.cl;
U. SANTO TOMÁS;Av. Héroes de la Concepción 2885, Iquique, Iquique;www.ust.cl;
U. SANTO TOMÁS;Ruta 5 Norte 1068, La Serena, Elqui;www.ust.cl;
U. SANTO TOMÁS;Lautaro 286, Los Ángeles, Biobío;www.ust.cl;
U. SANTO TOMÁS;Los Carrera 753, Osorno, Osorno;www.ust.cl;
U. SANTO TOMÁS;Buena Vecindad 091, Puerto Montt, Llanquihue;www.ust.cl;
U. SANTO TOMÁS;Av. Ejército 146, Santiago, Santiago;www.ust.cl;
U. SANTO TOMÁS;Av. Carlos Schorr 255, Talca, Talca;www.ust.cl;
U. SANTO TOMÁS;Rodríguez 060, Temuco, Cautín;www.ust.cl;
U. SANTO TOMÁS;Avda. Picarte 1448, Valdivia, Valdivia;www.ust.cl;
U. SANTO TOMÁS;Av. Limonares 190, Viña del Mar, Valparaíso;www.ust.cl;
U. TÉCNICA FEDERICO SANTA MARÍA;Alemparte 943, Talcahuano, Concepción;www.usm.cl;
U. TÉCNICA FEDERICO SANTA MARÍA;Gamero 540, Rancagua, Rancagua, Cachapoal;www.usm.cl;
U. TÉCNICA FEDERICO SANTA MARÍA;Av. Santa María 6400, Vitacura, Santiago;www.usm.cl;
U. TÉCNICA FEDERICO SANTA MARÍA;Av. España 1680, Valparaíso, Valparaíso;www.usm.cl;
U. TÉCNICA FEDERICO SANTA MARÍA;Av. Federico Santa María 6090, Viña del Mar, Valparaíso;www.usm.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. Pedro Aguirre Cerda 5900, Antofagasta, Antofagasta;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. Santa María 2190, Arica, Arica;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. Granaderos 3250, Calama, El Loa;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Constitución 757, Chillán, Ñuble;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Autopista Concepción Talcahuano 7421, Talcahuano, Concepción;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. Circunvalación 281, Copiapó, Copiapó;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Las Violetas 171, Coyhaique, Coihaique;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Merced 333, Curicó, Curicó;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. La Tirana 4310, Iquique, Iquique;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. Francisco de Aguirre 0389, La Serena, Elqui;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Villagrán 251, Los Ángeles, Biobío;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Patricio Lynch 1462, Osorno, Osorno;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Quellón 301, Población Chiloé, Puerto Montt, Llanquihue;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. Bulnes Km. 4 Norte, Punta Arenas, Magallanes;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. Nelson Pereira 2519, Rancagua, Cachapoal;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. San Miguel 2641, Talca, Talca;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. Luis Durand 02150, Temuco, Cautín;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. España 211, Valdivia, Valdivia;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. España 2250, Valparaíso, Valparaíso;www.utecnologica.cl;
U. TECNOLÓGICA DE CHILE INACAP;Av. Vitacura 10151, Vitacura, Santiago;www.utecnologica.cl;
U. TECNOLÓGICA METROPOLITANA;Dieciocho 161, Santiago, Santiago;www.utem.cl;
U. UCINF;Av. Pedro de Valdivia 641, Providencia, Santiago;;
